,Headline,Type,Username,URL,User URL,Date,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,index,change1,change2,change3,change4,change5,change6,total_change
76,【adgg】Star faded,text,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b5aa61ba,https://andydufresne66959.lofter.com/,2022-06-07,6,6,6,6,6,6,6,76,0,0,0,0,0,0,0
77,求adgg组织收留,text,kissukinkilove,https://kissukinkilove.lofter.com/post/1f0abee9_2b5aa6e53,https://kissukinkilove.lofter.com/,2022-06-07,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0
78,None,img,良烨(刀糖手随时切换),https://sunyiqiantonystark.lofter.com/post/318c314e_2b5aaae1e,https://sunyiqiantonystark.lofter.com/,2022-06-07,3,3,3,3,3,3,3,78,0,0,0,0,0,0,0
79,找文,text,司骨,https://banshengweiliang059.lofter.com/post/30de192d_2b5aa5798,https://banshengweiliang059.lofter.com/,2022-06-07,4,4,4,4,4,4,4,79,0,0,0,0,0,0,0
80,None,img,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5a99321,https://moinmoin150.lofter.com/,2022-06-07,9,9,9,9,9,9,9,80,0,0,0,0,0,0,0
81,【adgg】星海（9）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5a953f7,https://chuxiadefengmu.lofter.com/,2022-06-06,21,21,21,21,21,21,21,81,0,0,0,0,0,0,0
82,[hp]从纽蒙迦德开始的黑魔法觉醒（3）,text,Autistic.,https://guigujiu.lofter.com/post/4b73b51a_2b598de49,https://guigujiu.lofter.com/,2022-06-06,10,10,10,10,10,10,10,82,0,0,0,0,0,0,0
83,【adgg】时过境迁（下）,text,悬铃木,https://platanus-occidentalis-l.lofter.com/post/74b43cf8_2b5a91a67,https://platanus-occidentalis-l.lofter.com/,2022-06-06,4,4,4,4,4,4,4,83,0,0,0,0,0,0,0
84,论邓布利多/五条悟和格林德沃/夏油杰之间的相似性,text,先生,https://xiansheng078.lofter.com/post/309bf98d_2b5a8ea2f,https://xiansheng078.lofter.com/,2022-06-06,12,12,12,12,13,13,13,84,0,0,0,1,0,0,1
85,【adgg】羊毛袜子,text,悬铃木,https://platanus-occidentalis-l.lofter.com/post/74b43cf8_2b5a89678,https://platanus-occidentalis-l.lofter.com/,2022-06-06,3,3,3,3,3,3,3,85,0,0,0,0,0,0,0
86,金色的大鸟（上）,text,失格者 ⃒⃘⃤,https://yemingmeiyu.lofter.com/post/309139dd_2b5a7387a,https://yemingmeiyu.lofter.com/,2022-06-06,13,13,13,13,13,13,13,86,0,0,0,0,0,0,0
87,想象中的决斗,text,⃒⃘⃤*邓布利多最喜欢的学生* ⃒⃘⃤,https://drarry87486.lofter.com/post/73ec663d_2b58f73f7,https://drarry87486.lofter.com/,2022-06-06,1,1,1,1,1,1,1,87,0,0,0,0,0,0,0
88,None,img,想喝奶茶,https://bu167.lofter.com/post/1f454d2c_2b5a681b3,https://bu167.lofter.com/,2022-06-05,3,3,3,3,3,3,3,88,0,0,0,0,0,0,0
89,None,img,想喝奶茶,https://bu167.lofter.com/post/1f454d2c_2b5a65765,https://bu167.lofter.com/,2022-06-05,2,2,2,2,2,2,2,89,0,0,0,0,0,0,0
90,None,img,青森修二,https://nolreweg.lofter.com/post/1d585967_2b5a6a6ea,https://nolreweg.lofter.com/,2022-06-05,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0
91,【adgg】Star faded,text,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b5a61846,https://andydufresne66959.lofter.com/,2022-06-05,10,10,10,10,10,10,10,91,0,0,0,0,0,0,0
92,Iðunn,text,金蝉加得,https://zhonger84482.lofter.com/post/4cc8f23d_2b5a6509d,https://zhonger84482.lofter.com/,2022-06-05,23,23,23,23,23,23,23,92,0,0,0,0,0,0,0
93,关于变成格林德沃的样子穿越06,text,嘉德零,https://jiadeling.lofter.com/post/4c949fcb_2b5a5abd7,https://jiadeling.lofter.com/,2022-06-05,21,21,21,21,21,21,21,93,0,0,0,0,0,0,0
94,None,img,想喝奶茶,https://bu167.lofter.com/post/1f454d2c_2b5a61807,https://bu167.lofter.com/,2022-06-05,2,2,2,2,2,2,2,94,0,0,0,0,0,0,0
95,【ADGG】红白玫瑰（47）,text,沨森空响,https://banzhujiang.lofter.com/post/1f6abc7b_2b5a5c50e,https://banzhujiang.lofter.com/,2022-06-05,6,6,6,6,6,6,6,95,0,0,0,0,0,0,0
96,【adgg】星海（8）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5a4f8ba,https://chuxiadefengmu.lofter.com/,2022-06-05,39,39,39,39,39,39,39,96,0,0,0,0,0,0,0
97,None,img,可梦颖欣,https://kemengyingxin.lofter.com/post/30be3ce1_2b5a4ad4e,https://kemengyingxin.lofter.com/,2022-06-05,6,6,6,6,6,6,6,97,0,0,0,0,0,0,0
98,【ADGG】Written in water 1,text,不铭,https://bumingzhiyyu.lofter.com/post/1f52ca4a_2b5a39ed2,https://bumingzhiyyu.lofter.com/,2022-06-04,7,7,7,8,8,8,8,98,0,0,1,0,0,0,1
99,〖ADGG〗〖GG中心〗毋寞（孑番外）,text,楚阿米,https://chuzizhi.lofter.com/post/2023f526_2b5a3a1da,https://chuzizhi.lofter.com/,2022-06-04,23,23,24,24,25,27,27,99,0,1,0,1,2,0,4
100,ADGG因你跳动·第一章,text,沫言demotivation,https://moyandemotivation.lofter.com/post/748c3de2_2b5a2aaeb,https://moyandemotivation.lofter.com/,2022-06-04,7,7,7,7,7,7,7,100,0,0,0,0,0,0,0
101,【adgg】Star faded,text,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b5a2dcc7,https://andydufresne66959.lofter.com/,2022-06-04,16,16,16,16,16,16,16,101,0,0,0,0,0,0,0
102,None,img,想喝奶茶,https://bu167.lofter.com/post/1f454d2c_2b5a2d864,https://bu167.lofter.com/,2022-06-04,4,4,4,4,4,4,4,102,0,0,0,0,0,0,0
103,放一下脑洞,text,Neville Jane Olanjeuf⃒⃘⃤,https://fanmaihuanghundewenrou.lofter.com/post/4bdd0961_2b5a26b83,https://fanmaihuanghundewenrou.lofter.com/,2022-06-04,1,1,1,1,1,1,1,103,0,0,0,0,0,0,0
104,None,img,这是一碗泡面汤,https://gaara951.lofter.com/post/1fadb982_2b5a24ed3,https://gaara951.lofter.com/,2022-06-04,3,3,3,3,3,3,3,104,0,0,0,0,0,0,0
105,《∞》04-05,text,多喝白开水,https://2781260535.lofter.com/post/1e0cbc67_2b5a2066f,https://2781260535.lofter.com/,2022-06-04,11,11,11,11,11,11,11,105,0,0,0,0,0,0,0
106,【adgg】星海（7）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5a1ca7d,https://chuxiadefengmu.lofter.com/,2022-06-04,22,22,22,22,22,22,22,106,0,0,0,0,0,0,0
107,None,img,April,https://april67505.lofter.com/post/74ce63fa_2b5a199ef,https://april67505.lofter.com/,2022-06-04,9,9,9,9,9,9,9,107,0,0,0,0,0,0,0
108,None,img,小包一挎,https://shaoyedeqingpingguo40033.lofter.com/post/4cdab2a3_2b5a0b85c,https://shaoyedeqingpingguo40033.lofter.com/,2022-06-04,6,6,6,6,6,6,6,108,0,0,0,0,0,0,0
109,None,img,April,https://april67505.lofter.com/post/74ce63fa_2b5a0a0e4,https://april67505.lofter.com/,2022-06-04,8,8,8,8,8,8,8,109,0,0,0,0,0,0,0
110,【adgg】星海（6）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5a0024d,https://chuxiadefengmu.lofter.com/,2022-06-03,18,18,18,18,18,18,18,110,0,0,0,0,0,0,0
111,None,img,想喝奶茶,https://bu167.lofter.com/post/1f454d2c_2b59f255b,https://bu167.lofter.com/,2022-06-03,3,3,3,3,3,3,3,111,0,0,0,0,0,0,0
112,黎明之前3,text,Bycatch    ⃒⃘⃤,https://walburga.lofter.com/post/73f1959c_2b59e8f48,https://walburga.lofter.com/,2022-06-03,14,14,14,14,14,14,14,112,0,0,0,0,0,0,0
113,None,img,Bycatch    ⃒⃘⃤,https://walburga.lofter.com/post/73f1959c_2b59eb516,https://walburga.lofter.com/,2022-06-03,2,2,2,2,2,2,2,113,0,0,0,0,0,0,0
114,关于《爱与孤独》一些碎碎念,text,司芊,https://cissy51358.lofter.com/post/73d3882e_2b5813344,https://cissy51358.lofter.com/,2022-06-03,2,2,2,2,2,2,2,114,0,0,0,0,0,0,0
115,一个预告,text,沫言demotivation,https://moyandemotivation.lofter.com/post/748c3de2_2b59e3227,https://moyandemotivation.lofter.com/,2022-06-03,2,2,2,2,2,2,2,115,0,0,0,0,0,0,0
116,「ADGG企划Binary star」心塞美食宝藏的故事,text,滥竽充数的白桦,https://zixuqing.lofter.com/post/73e9a0de_2b59d57e0,https://zixuqing.lofter.com/,2022-06-03,3,3,3,3,3,3,3,116,0,0,0,0,0,0,0
117,Speculum imaginis,text,金蝉加得,https://zhonger84482.lofter.com/post/4cc8f23d_2b59dcf7f,https://zhonger84482.lofter.com/,2022-06-03,26,26,26,26,26,26,26,117,0,0,0,0,0,0,0
118,None,img,想喝奶茶,https://bu167.lofter.com/post/1f454d2c_2b59da369,https://bu167.lofter.com/,2022-06-03,5,5,5,6,6,6,6,118,0,0,1,0,0,0,1
119,【adgg】Devil in me,text,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b59031f8,https://andydufresne66959.lofter.com/,2022-06-03,5,5,5,5,5,5,5,119,0,0,0,0,0,0,0
120,关于变成格林德沃的样子穿越05,text,嘉德零,https://jiadeling.lofter.com/post/4c949fcb_2b597a5b4,https://jiadeling.lofter.com/,2022-06-03,8,8,8,8,8,8,8,120,0,0,0,0,0,0,0
121,None,img,QwQ（XZ ekelhaft.）,https://qwq7955313.lofter.com/post/73b4e78b_2b59c7a81,https://qwq7955313.lofter.com/,2022-06-03,2,2,2,2,2,2,2,121,0,0,0,0,0,0,0
122,【ADGG】秋雨（端午节快乐！）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b59b79b4,https://chuxiadefengmu.lofter.com/,2022-06-02,8,8,8,8,8,8,8,122,0,0,0,0,0,0,0
123,None,img,想喝奶茶,https://bu167.lofter.com/post/1f454d2c_2b59b93ca,https://bu167.lofter.com/,2022-06-02,3,3,3,3,3,3,3,123,0,0,0,0,0,0,0
124,None,img,想喝奶茶,https://bu167.lofter.com/post/1f454d2c_2b59baa70,https://bu167.lofter.com/,2022-06-02,5,5,5,5,5,5,5,124,0,0,0,0,0,0,0
