,Headline,Type,Username,URL,User URL,Date,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,index,change1,change2,change3,change4,change5,change6,total_change
79,住在魔镜里的黑魔王（五十）,text,牛奶糖和大果粒,https://mitaoshangdeqingting.lofter.com/post/1f4d37bb_2b5c4cef2,https://mitaoshangdeqingting.lofter.com/,2022-06-19,48,57,58,59,61,61,62,79,9,1,1,2,0,1,14
80,None,img,朝颦,https://qinggexueshang.lofter.com/post/4b697fe0_2b5c4f708,https://qinggexueshang.lofter.com/,2022-06-19,2,2,2,2,4,4,4,80,0,0,0,2,0,0,2
81,剧透,text,双木,https://nannuonuomizhou.lofter.com/post/3091c331_2b5c4a73d,https://nannuonuomizhou.lofter.com/,2022-06-19,7,14,15,17,17,17,17,81,7,1,2,0,0,0,10
82,None,img,👸🏻,https://ming089458.lofter.com/post/742dd4e1_2b5c4f617,https://ming089458.lofter.com/,2022-06-19,10,12,14,14,15,16,16,82,2,2,0,1,1,0,6
83,交错时空2《哈利波特观影体》,text,九莲青良,https://bailu462.lofter.com/post/1f0799b6_2b5c4b8df,https://bailu462.lofter.com/,2022-06-19,89,110,128,142,158,171,188,83,21,18,14,16,13,17,99
84,文章,text,忘羡永恒,https://liuyixuan11044.lofter.com/post/74a5b2b1_2b5c4b3c6,https://liuyixuan11044.lofter.com/,2022-06-19,11,11,15,15,15,15,16,84,0,4,0,0,0,1,5
85,summertime,text,一条鱼,https://yitiaoyu99311.lofter.com/post/314d6fbe_2b5c4f56f,https://yitiaoyu99311.lofter.com/,2022-06-19,4,5,5,5,7,7,7,85,1,0,0,2,0,0,3
86,None,img,九日,https://fenshubushangxianbugaiming.lofter.com/post/31ddcf61_2b5c4ac31,https://fenshubushangxianbugaiming.lofter.com/,2022-06-19,5,8,8,11,11,11,11,86,3,0,3,0,0,0,6
87,【ggAD】巫师也会攀科技树 chapter 2（下）,text,Echo,https://echo4625.lofter.com/post/1f8fc8bd_2b5c4e0ad,https://echo4625.lofter.com/,2022-06-19,11,16,17,17,17,17,17,87,5,1,0,0,0,0,6
88,德哈--重生,text,仙挽,https://xianwan50803.lofter.com/post/7442021a_2b5c4d2a1,https://xianwan50803.lofter.com/,2022-06-19,14,25,30,34,34,38,39,88,11,5,4,0,4,1,25
89,None,img,L,https://l653333975.lofter.com/post/73cfe15c_2b5c4e575,https://l653333975.lofter.com/,2022-06-19,8,9,9,9,9,9,9,89,1,0,0,0,0,0,1
90,嗅嗅有话说,text,疯姑娘伍幺幺   ⃒⃘⃤,https://quzhongrenbusan472.lofter.com/post/20259b2d_2b5c4a88e,https://quzhongrenbusan472.lofter.com/,2022-06-19,6,15,16,21,23,24,26,90,9,1,5,2,1,2,20
91,僵 持,text,秋映,https://flin526096.lofter.com/post/31b2c3ff_2b5c48243,https://flin526096.lofter.com/,2022-06-19,30,32,33,35,35,35,35,91,2,1,2,0,0,0,5
92,（ggad）把前男友变成好闺蜜（二）,text,Heitiana Artemis Blake Lancast,https://yueliangaiyouling.lofter.com/post/7441749f_2b5c48957,https://yueliangaiyouling.lofter.com/,2022-06-19,12,15,18,18,18,21,23,92,3,3,0,0,3,2,11
93,[GGAD]格格不入22,text,青汤光肉,https://meatsoup.lofter.com/post/228818_2b5c47a49,https://meatsoup.lofter.com/,2022-06-19,144,146,148,149,146,148,148,93,2,2,1,-3,2,0,4
94,None,img,霍格沃兹乌鱼,https://xiaoxixi980.lofter.com/post/1fd1408e_2b5c4aee2,https://xiaoxixi980.lofter.com/,2022-06-19,302,323,340,350,363,371,382,94,21,17,10,13,8,11,80
95,【ggad】我的冤种老爹们（番外1）,text,青妩Echo（邓布利多的狗版,https://yaoyao65798.lofter.com/post/31bf63f3_2b5c447dd,https://yaoyao65798.lofter.com/,2022-06-19,101,121,134,139,139,142,147,95,20,13,5,0,3,5,46
96,【GGAD】存在即永恒,text,Existence is eternity,https://baiyexiaomeng.lofter.com/post/30a41e51_2b5c4813d,https://baiyexiaomeng.lofter.com/,2022-06-19,9,11,11,11,12,12,12,96,2,0,0,1,0,0,3
