,Headline,Type,Username,URL,User URL,Date,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,index,change1,change2,change3,change4,change5,change6,total_change
46,问一下姐妹们……,text,庭梧生,https://tingwusheng78055.lofter.com/post/7445ef3b_2b5b59aa6,https://tingwusheng78055.lofter.com/,2022-06-12,3,3,3,3,3,3,3,46,0,0,0,0,0,0,0
47,ADGG是真的！,text,电灯泡它亮如白昼,https://hulanhe23476.lofter.com/post/740dfe2d_2b5b57474,https://hulanhe23476.lofter.com/,2022-06-12,11,11,11,12,12,12,12,47,0,0,1,0,0,0,1
48,惊！ADGG那年那些（破）事！,text,啦啦啦种太阳,https://yushengwuguo.lofter.com/post/1fd10182_2b5b49c37,https://yushengwuguo.lofter.com/,2022-06-12,27,27,29,31,31,31,31,48,0,2,2,0,0,0,4
49,前往霍格沃茨,text,失格者 ⃒⃘⃤,https://yemingmeiyu.lofter.com/post/309139dd_2b5a252f5,https://yemingmeiyu.lofter.com/,2022-06-12,63,64,64,65,70,71,71,49,1,0,1,5,1,0,8
50,【adgg】星海（12）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5b48c8e,https://chuxiadefengmu.lofter.com/,2022-06-11,148,150,153,153,153,158,158,50,2,3,0,0,5,0,10
51,如果我们不曾相遇-demo,text,高锥克山谷的萝莉   ⃒⃘⃤,https://gaozhuikeshangudeluoli.lofter.com/post/1f9724ff_2b5b48c4b,https://gaozhuikeshangudeluoli.lofter.com/,2022-06-11,14,14,14,14,14,14,14,51,0,0,0,0,0,0,0
52,关于变成格林德沃的样子穿越08,text,嘉德零,https://jiadeling.lofter.com/post/4c949fcb_2b5b16c56,https://jiadeling.lofter.com/,2022-06-11,123,123,122,125,125,126,126,52,0,-1,3,0,1,0,3
53,浅浅发个福利,text,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b5b3f7ba,https://andydufresne66959.lofter.com/,2022-06-11,21,21,21,21,21,21,21,53,0,0,0,0,0,0,0
54,None,img,沫言demotivation,https://moyandemotivation.lofter.com/post/748c3de2_2b5b32072,https://moyandemotivation.lofter.com/,2022-06-11,22,22,22,23,23,25,25,54,0,0,1,0,2,0,3
55,None,img,电灯泡它亮如白昼,https://hulanhe23476.lofter.com/post/740dfe2d_2b5b301fb,https://hulanhe23476.lofter.com/,2022-06-11,40,40,42,44,44,44,44,55,0,2,2,0,0,0,4
56,None,img,April,https://april67505.lofter.com/post/74ce63fa_2b5b34981,https://april67505.lofter.com/,2022-06-11,5,5,5,5,5,5,5,56,0,0,0,0,0,0,0
57,瘾,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5b30090,https://moinmoin150.lofter.com/,2022-06-11,99,99,100,103,103,103,103,57,0,1,3,0,0,0,4
58,Iðunn,text,金蝉加得,https://zhonger84482.lofter.com/post/4cc8f23d_2b5b27df9,https://zhonger84482.lofter.com/,2022-06-11,89,90,91,91,91,91,91,58,1,1,0,0,0,0,2
59,【adgg】星海（11）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5b25720,https://chuxiadefengmu.lofter.com/,2022-06-10,162,166,170,171,171,176,176,59,4,4,1,0,5,0,14
60,金色的大鸟（格林德沃夫人篇）,text,失格者 ⃒⃘⃤,https://yemingmeiyu.lofter.com/post/309139dd_2b5b1549e,https://yemingmeiyu.lofter.com/,2022-06-10,47,47,47,48,48,53,53,60,0,0,1,0,5,0,6
61,【adgg】The Death of Rose,text,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b593a9a1,https://andydufresne66959.lofter.com/,2022-06-10,81,84,83,83,83,84,84,61,3,-1,0,0,1,0,3
62,《灰烬》01,text,多喝白开水,https://2781260535.lofter.com/post/1e0cbc67_2b5b0a355,https://2781260535.lofter.com/,2022-06-10,186,193,194,196,197,199,199,62,7,1,2,1,2,0,13
63,【授翻】龟兔赛跑 CH.2,text,战斗系橘喵【看个人介绍】,https://tomarry12317.lofter.com/post/1e53404d_2b5afab4e,https://tomarry12317.lofter.com/,2022-06-09,121,121,121,121,121,123,123,63,0,0,0,0,2,0,2
64,None,img,高锥克山谷的萝莉   ⃒⃘⃤,https://gaozhuikeshangudeluoli.lofter.com/post/1f9724ff_2b5af01e1,https://gaozhuikeshangudeluoli.lofter.com/,2022-06-09,185,186,188,188,191,192,192,64,1,2,0,3,1,0,7
65,【授翻】GGAD之有问必答（7/9）,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5aec581,https://moinmoin150.lofter.com/,2022-06-09,64,64,64,64,64,64,64,65,0,0,0,0,0,0,0
66,一个脑洞,text,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b5ae4658,https://andydufresne66959.lofter.com/,2022-06-09,23,24,24,25,25,25,25,66,1,0,1,0,0,0,2
67,None,img,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5ae1381,https://moinmoin150.lofter.com/,2022-06-08,63,64,64,64,65,65,65,67,1,0,0,1,0,0,2
68,【adgg】星海（10）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5ae2970,https://chuxiadefengmu.lofter.com/,2022-06-08,156,160,162,163,165,171,171,68,4,2,1,2,6,0,15
69,Iðunn,text,金蝉加得,https://zhonger84482.lofter.com/post/4cc8f23d_2b5adac66,https://zhonger84482.lofter.com/,2022-06-08,76,77,78,78,78,78,78,69,1,1,0,0,0,0,2
70,关于变成格林德沃的样子穿越07,text,嘉德零,https://jiadeling.lofter.com/post/4c949fcb_2b5aac81a,https://jiadeling.lofter.com/,2022-06-08,146,150,153,155,156,158,158,70,4,3,2,1,2,0,12
71,金色的大鸟（上＋格林德沃先生篇）,text,失格者 ⃒⃘⃤,https://yemingmeiyu.lofter.com/post/309139dd_2b5ac70b9,https://yemingmeiyu.lofter.com/,2022-06-08,46,47,48,49,49,49,49,71,1,1,1,0,0,0,3
72,None,img,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5abb921,https://moinmoin150.lofter.com/,2022-06-07,3842,3998,4080,4179,4287,4428,4428,72,156,82,99,108,141,0,586
73,None,img,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5abae1d,https://moinmoin150.lofter.com/,2022-06-07,85,86,86,88,88,88,88,73,1,0,2,0,0,0,3
74,None,img,想喝奶茶,https://bu167.lofter.com/post/1f454d2c_2b5abc46b,https://bu167.lofter.com/,2022-06-07,267,267,267,270,272,274,274,74,0,0,3,2,2,0,7
75,《∞》06-07（完）,text,多喝白开水,https://2781260535.lofter.com/post/1e0cbc67_2b5ababc3,https://2781260535.lofter.com/,2022-06-07,97,100,100,101,102,107,107,75,3,0,1,1,5,0,10
76,【adgg】Star faded,text,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b5aa61ba,https://andydufresne66959.lofter.com/,2022-06-07,125,126,126,127,128,128,128,76,1,0,1,1,0,0,3
77,求adgg组织收留,text,kissukinkilove,https://kissukinkilove.lofter.com/post/1f0abee9_2b5aa6e53,https://kissukinkilove.lofter.com/,2022-06-07,6,6,6,6,6,6,6,77,0,0,0,0,0,0,0
78,None,img,良烨(刀糖手随时切换),https://sunyiqiantonystark.lofter.com/post/318c314e_2b5aaae1e,https://sunyiqiantonystark.lofter.com/,2022-06-07,10,10,10,10,10,10,10,78,0,0,0,0,0,0,0
79,找文,text,司骨,https://banshengweiliang059.lofter.com/post/30de192d_2b5aa5798,https://banshengweiliang059.lofter.com/,2022-06-07,9,11,11,13,13,13,13,79,2,0,2,0,0,0,4
80,None,img,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5a99321,https://moinmoin150.lofter.com/,2022-06-07,59,59,59,59,59,59,59,80,0,0,0,0,0,0,0
81,【adgg】星海（9）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5a953f7,https://chuxiadefengmu.lofter.com/,2022-06-06,160,162,163,164,167,171,171,81,2,1,1,3,4,0,11
82,[hp]从纽蒙迦德开始的黑魔法觉醒（3）,text,Autistic.,https://guigujiu.lofter.com/post/4b73b51a_2b598de49,https://guigujiu.lofter.com/,2022-06-06,163,164,170,171,172,172,172,82,1,6,1,1,0,0,9
83,【adgg】时过境迁（下）,text,悬铃木,https://platanus-occidentalis-l.lofter.com/post/74b43cf8_2b5a91a67,https://platanus-occidentalis-l.lofter.com/,2022-06-06,51,51,52,53,53,55,55,83,0,1,1,0,2,0,4
84,论邓布利多/五条悟和格林德沃/夏油杰之间的相似性,text,先生,https://xiansheng078.lofter.com/post/309bf98d_2b5a8ea2f,https://xiansheng078.lofter.com/,2022-06-06,74,75,76,79,81,87,87,84,1,1,3,2,6,0,13
85,【adgg】羊毛袜子,text,悬铃木,https://platanus-occidentalis-l.lofter.com/post/74b43cf8_2b5a89678,https://platanus-occidentalis-l.lofter.com/,2022-06-06,49,49,51,55,57,60,60,85,0,2,4,2,3,0,11
86,金色的大鸟（上）,text,失格者 ⃒⃘⃤,https://yemingmeiyu.lofter.com/post/309139dd_2b5a7387a,https://yemingmeiyu.lofter.com/,2022-06-06,60,61,61,61,62,63,63,86,1,0,0,1,1,0,3
87,想象中的决斗,text,⃒⃘⃤*邓布利多最喜欢的学生* ⃒⃘⃤,https://drarry87486.lofter.com/post/73ec663d_2b58f73f7,https://drarry87486.lofter.com/,2022-06-06,19,19,19,19,19,19,19,87,0,0,0,0,0,0,0
88,None,img,想喝奶茶,https://bu167.lofter.com/post/1f454d2c_2b5a681b3,https://bu167.lofter.com/,2022-06-05,49,49,49,49,49,49,49,88,0,0,0,0,0,0,0
89,None,img,想喝奶茶,https://bu167.lofter.com/post/1f454d2c_2b5a65765,https://bu167.lofter.com/,2022-06-05,74,74,74,74,74,74,74,89,0,0,0,0,0,0,0
90,None,img,青森修二,https://nolreweg.lofter.com/post/1d585967_2b5a6a6ea,https://nolreweg.lofter.com/,2022-06-05,14,14,14,16,16,16,16,90,0,0,2,0,0,0,2
91,【adgg】Star faded,text,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b5a61846,https://andydufresne66959.lofter.com/,2022-06-05,124,128,130,130,132,133,133,91,4,2,0,2,1,0,9
92,Iðunn,text,金蝉加得,https://zhonger84482.lofter.com/post/4cc8f23d_2b5a6509d,https://zhonger84482.lofter.com/,2022-06-05,80,81,82,82,82,82,82,92,1,1,0,0,0,0,2
93,关于变成格林德沃的样子穿越06,text,嘉德零,https://jiadeling.lofter.com/post/4c949fcb_2b5a5abd7,https://jiadeling.lofter.com/,2022-06-05,141,145,151,152,152,155,155,93,4,6,1,0,3,0,14
94,None,img,想喝奶茶,https://bu167.lofter.com/post/1f454d2c_2b5a61807,https://bu167.lofter.com/,2022-06-05,41,41,43,43,43,44,44,94,0,2,0,0,1,0,3
95,【ADGG】红白玫瑰（47）,text,沨森空响,https://banzhujiang.lofter.com/post/1f6abc7b_2b5a5c50e,https://banzhujiang.lofter.com/,2022-06-05,80,83,84,84,84,85,85,95,3,1,0,0,1,0,5
96,【adgg】星海（8）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5a4f8ba,https://chuxiadefengmu.lofter.com/,2022-06-05,164,167,169,170,171,178,178,96,3,2,1,1,7,0,14
97,None,img,可梦颖欣,https://kemengyingxin.lofter.com/post/30be3ce1_2b5a4ad4e,https://kemengyingxin.lofter.com/,2022-06-05,10,10,10,10,10,10,10,97,0,0,0,0,0,0,0
98,【ADGG】Written in water 1,text,不铭,https://bumingzhiyyu.lofter.com/post/1f52ca4a_2b5a39ed2,https://bumingzhiyyu.lofter.com/,2022-06-04,73,73,73,75,75,75,75,98,0,0,2,0,0,0,2
99,〖ADGG〗〖GG中心〗毋寞（孑番外）,text,楚阿米,https://chuzizhi.lofter.com/post/2023f526_2b5a3a1da,https://chuzizhi.lofter.com/,2022-06-04,181,182,188,189,196,202,202,99,1,6,1,7,6,0,21
100,ADGG因你跳动·第一章,text,沫言demotivation,https://moyandemotivation.lofter.com/post/748c3de2_2b5a2aaeb,https://moyandemotivation.lofter.com/,2022-06-04,24,27,27,29,29,29,29,100,3,0,2,0,0,0,5
101,【adgg】Star faded,text,青崖山小龙女,https://andydufresne66959.lofter.com/post/31989391_2b5a2dcc7,https://andydufresne66959.lofter.com/,2022-06-04,130,132,133,132,134,134,134,101,2,1,-1,2,0,0,4
102,None,img,想喝奶茶,https://bu167.lofter.com/post/1f454d2c_2b5a2d864,https://bu167.lofter.com/,2022-06-04,111,114,117,121,121,122,122,102,3,3,4,0,1,0,11
103,放一下脑洞,text,Neville Jane Olanjeuf⃒⃘⃤,https://fanmaihuanghundewenrou.lofter.com/post/4bdd0961_2b5a26b83,https://fanmaihuanghundewenrou.lofter.com/,2022-06-04,27,27,27,27,27,27,27,103,0,0,0,0,0,0,0
104,None,img,这是一碗泡面汤,https://gaara951.lofter.com/post/1fadb982_2b5a24ed3,https://gaara951.lofter.com/,2022-06-04,13,13,13,13,13,13,13,104,0,0,0,0,0,0,0
105,《∞》04-05,text,多喝白开水,https://2781260535.lofter.com/post/1e0cbc67_2b5a2066f,https://2781260535.lofter.com/,2022-06-04,79,79,80,81,81,87,87,105,0,1,1,0,6,0,8
106,【adgg】星海（7）,text,初夏的风木,https://chuxiadefengmu.lofter.com/post/74443b56_2b5a1ca7d,https://chuxiadefengmu.lofter.com/,2022-06-04,157,159,163,163,165,170,170,106,2,4,0,2,5,0,13
